-3	8.68327
-2.94	7.99226
-2.88	7.22662
-2.82	6.40517
-2.76	5.54651
-2.7	4.66865
-2.64	3.78873
-2.58	2.92272
-2.52	2.08518
-2.46	1.28911
-2.4	0.545734
-2.34	-0.135578
-2.28	-0.747376
-2.22	-1.28416
-2.16	-1.74237
-2.1	-2.12031
-2.04	-2.41807
-1.98	-2.6374
-1.92	-2.78155
-1.86	-2.8551
-1.8	-2.86376
-1.74	-2.81415
-1.68	-2.71361
-1.62	-2.56996
-1.56	-2.39129
-1.5	-2.18574
-1.44	-1.96131
-1.38	-1.72568
-1.32	-1.48603
-1.26	-1.2489
-1.2	-1.02011
-1.14	-0.804598
-1.08	-0.606427
-1.02	-0.428704
-0.96	-0.273585
-0.9	-0.142294
-0.84	-0.035161
-0.78	0.0483084
-0.72	0.109352
-0.66	0.149845
-0.6	0.172189
-0.54	0.179179
-0.48	0.173879
-0.42	0.159481
-0.36	0.139174
-0.3	0.11602
-0.24	0.092831
-0.18	0.0720631
-0.12	0.0557273
-0.06	0.0453142
2.16493e-15	0.0417401
0.06	0.0453142
0.12	0.0557273
0.18	0.0720631
0.24	0.092831
0.3	0.11602
0.36	0.139174
0.42	0.159481
0.48	0.173879
0.54	0.179179
0.6	0.172189
0.66	0.149845
0.72	0.109352
0.78	0.0483084
0.84	-0.035161
0.9	-0.142294
0.96	-0.273585
1.02	-0.428704
1.08	-0.606427
1.14	-0.804598
1.2	-1.02011
1.26	-1.2489
1.32	-1.48603
1.38	-1.72568
1.44	-1.96131
1.5	-2.18574
1.56	-2.39129
1.62	-2.56996
1.68	-2.71361
1.74	-2.81415
1.8	-2.86376
1.86	-2.8551
1.92	-2.78155
1.98	-2.6374
2.04	-2.41807
2.1	-2.12031
2.16	-1.74237
2.22	-1.28416
2.28	-0.747376
2.34	-0.135578
2.4	0.545734
2.46	1.28911
2.52	2.08518
2.58	2.92272
2.64	3.78873
2.7	4.66865
2.76	5.54651
2.82	6.40517
2.88	7.22662
2.94	7.99226
3	8.68327
